,Open
2003-01-06,351.70001220703125
2003-01-13,352.0
2003-01-20,352.0
2003-01-27,371.0
2003-02-03,368.0
2003-02-10,370.3999938964844
2003-02-17,370.3999938964844
2003-02-24,353.8999938964844
2003-03-03,349.20001220703125
2003-03-10,354.70001220703125
2003-03-17,343.0
2003-03-24,329.5
2003-03-31,331.6000061035156
2003-04-07,321.0
2003-04-14,325.6000061035156
2003-04-21,329.70001220703125
2003-04-28,335.0
2003-05-05,342.29998779296875
2003-05-12,351.6000061035156
2003-05-19,364.20001220703125
2003-05-26,364.20001220703125
2003-06-02,360.0
2003-06-09,362.79998779296875
2003-06-16,359.1000061035156
2003-06-23,355.8999938964844
2003-06-30,345.29998779296875
2003-07-07,351.0
2003-07-14,344.5
2003-07-21,350.8999938964844
2003-07-28,362.70001220703125
2003-08-04,346.5
2003-08-11,359.6000061035156
2003-08-18,360.0
2003-08-25,364.0
2003-09-01,364.0
2003-09-08,375.1000061035156
2003-09-15,375.3999938964844
2003-09-22,387.20001220703125
2003-09-29,381.0
2003-10-06,371.5
2003-10-13,371.29998779296875
2003-10-20,373.5
2003-10-27,387.79998779296875
2003-11-03,382.79998779296875
2003-11-10,386.6000061035156
2003-11-17,397.6000061035156
2003-11-24,391.5
2003-12-01,397.20001220703125
2003-12-08,409.0
2003-12-15,401.6000061035156
2003-12-22,409.6000061035156
2003-12-29,414.1000061035156
2004-01-05,415.70001220703125
2004-01-12,425.79998779296875
2004-01-19,425.79998779296875
2004-01-26,406.6000061035156
2004-02-02,403.0
2004-02-09,403.79998779296875
2004-02-16,403.79998779296875
2004-02-23,399.0
2004-03-01,396.3999938964844
2004-03-08,399.5
2004-03-15,399.3999938964844
2004-03-22,417.3999938964844
2004-03-29,422.1000061035156
2004-04-05,421.6000061035156
2004-04-12,421.1000061035156
2004-04-19,404.6000061035156
2004-04-26,396.5
2004-05-03,387.0
2004-05-10,378.6000061035156
2004-05-17,379.5
2004-05-24,385.6000061035156
2004-05-31,385.6000061035156
2004-06-07,392.6000061035156
2004-06-14,383.6000061035156
2004-06-21,394.6000061035156
2004-06-28,403.0
2004-07-05,403.0
2004-07-12,407.5
2004-07-19,406.6000061035156
2004-07-26,389.8999938964844
2004-08-02,394.0
2004-08-09,399.1000061035156
2004-08-16,399.0
2004-08-23,411.29998779296875
2004-08-30,407.0
